exp_id,size
cloud_proxy_and_500mbpsattacker_withattacker/1/attacker_dump.pcap.zip,9987428
cloud_proxy_and_500mbpsattacker_withattacker/1/client1_dump.pcap.zip,79561
cloud_proxy_and_500mbpsattacker_withattacker/1/proxy_dump.pcap.zip,23349749
cloud_proxy_and_500mbpsattacker_withattacker/1/receiver_dump.pcap.zip,7604858
cloud_proxy_and_500mbpsattacker_withattacker/1/server_dump.pcap.zip,5536648
cloud_proxy_and_500mbpsattacker_withattacker/2/attacker_dump.pcap.zip,9885519
cloud_proxy_and_500mbpsattacker_withattacker/2/client1_dump.pcap.zip,81037
cloud_proxy_and_500mbpsattacker_withattacker/2/proxy_dump.pcap.zip,23142381
cloud_proxy_and_500mbpsattacker_withattacker/2/receiver_dump.pcap.zip,7466598
cloud_proxy_and_500mbpsattacker_withattacker/2/server_dump.pcap.zip,5566976
cloud_proxy_and_500mbpsattacker_withattacker/3/attacker_dump.pcap.zip,10047444
cloud_proxy_and_500mbpsattacker_withattacker/3/client1_dump.pcap.zip,81091
cloud_proxy_and_500mbpsattacker_withattacker/3/proxy_dump.pcap.zip,23249962
cloud_proxy_and_500mbpsattacker_withattacker/3/receiver_dump.pcap.zip,7604292
cloud_proxy_and_500mbpsattacker_withattacker/3/server_dump.pcap.zip,5437246
cloud_proxy_and_500mbpsattacker_withattacker_dtlson/1/attacker_dump.pcap.zip,17695059
cloud_proxy_and_500mbpsattacker_withattacker_dtlson/1/client1_dump.pcap.zip,408947
cloud_proxy_and_500mbpsattacker_withattacker_dtlson/1/proxy_dump.pcap.zip,23493798
cloud_proxy_and_500mbpsattacker_withattacker_dtlson/1/receiver_dump.pcap.zip,416
cloud_proxy_and_500mbpsattacker_withattacker_dtlson/1/server_dump.pcap.zip,4410265
cloud_proxy_and_500mbpsattacker_withattacker_dtlson/2/attacker_dump.pcap.zip,17767476
cloud_proxy_and_500mbpsattacker_withattacker_dtlson/2/client1_dump.pcap.zip,396258
cloud_proxy_and_500mbpsattacker_withattacker_dtlson/2/proxy_dump.pcap.zip,23628745
cloud_proxy_and_500mbpsattacker_withattacker_dtlson/2/receiver_dump.pcap.zip,416
cloud_proxy_and_500mbpsattacker_withattacker_dtlson/2/server_dump.pcap.zip,4456135
cloud_proxy_and_500mbpsattacker_withattacker_dtlson/3/attacker_dump.pcap.zip,20792704
cloud_proxy_and_500mbpsattacker_withattacker_dtlson/3/client1_dump.pcap.zip,403679
cloud_proxy_and_500mbpsattacker_withattacker_dtlson/3/proxy_dump.pcap.zip,27613314
cloud_proxy_and_500mbpsattacker_withattacker_dtlson/3/receiver_dump.pcap.zip,416
cloud_proxy_and_500mbpsattacker_withattacker_dtlson/3/server_dump.pcap.zip,5256810
cloud_proxy_and_500mbpsattacker_withattacker_dtlson_httpson/1/attacker_dump.pcap.zip,17564991
cloud_proxy_and_500mbpsattacker_withattacker_dtlson_httpson/1/client1_dump.pcap.zip,411397
cloud_proxy_and_500mbpsattacker_withattacker_dtlson_httpson/1/proxy_dump.pcap.zip,55741452
cloud_proxy_and_500mbpsattacker_withattacker_dtlson_httpson/1/receiver_dump.pcap.zip,432
cloud_proxy_and_500mbpsattacker_withattacker_dtlson_httpson/1/server_dump.pcap.zip,37238176
cloud_proxy_and_500mbpsattacker_withattacker_dtlson_httpson/2/attacker_dump.pcap.zip,17591476
cloud_proxy_and_500mbpsattacker_withattacker_dtlson_httpson/2/client1_dump.pcap.zip,398627
cloud_proxy_and_500mbpsattacker_withattacker_dtlson_httpson/2/proxy_dump.pcap.zip,56080021
cloud_proxy_and_500mbpsattacker_withattacker_dtlson_httpson/2/receiver_dump.pcap.zip,432
cloud_proxy_and_500mbpsattacker_withattacker_dtlson_httpson/2/server_dump.pcap.zip,37564104
cloud_proxy_and_500mbpsattacker_withattacker_dtlson_httpson/3/attacker_dump.pcap.zip,18026742
cloud_proxy_and_500mbpsattacker_withattacker_dtlson_httpson/3/client1_dump.pcap.zip,401168
cloud_proxy_and_500mbpsattacker_withattacker_dtlson_httpson/3/proxy_dump.pcap.zip,57551086
cloud_proxy_and_500mbpsattacker_withattacker_dtlson_httpson/3/receiver_dump.pcap.zip,432
cloud_proxy_and_500mbpsattacker_withattacker_dtlson_httpson/3/server_dump.pcap.zip,38575652
cloud_proxy_and_500mbpsattacker_withattacker_httpson/1/attacker_dump.pcap.zip,18248616
cloud_proxy_and_500mbpsattacker_withattacker_httpson/1/client1_dump.pcap.zip,401149
cloud_proxy_and_500mbpsattacker_withattacker_httpson/1/proxy_dump.pcap.zip,57609085
cloud_proxy_and_500mbpsattacker_withattacker_httpson/1/receiver_dump.pcap.zip,418
cloud_proxy_and_500mbpsattacker_withattacker_httpson/1/server_dump.pcap.zip,38389896
cloud_proxy_and_500mbpsattacker_withattacker_httpson/2/attacker_dump.pcap.zip,18216090
cloud_proxy_and_500mbpsattacker_withattacker_httpson/2/client1_dump.pcap.zip,399389
cloud_proxy_and_500mbpsattacker_withattacker_httpson/2/proxy_dump.pcap.zip,58626916
